,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,random_income
586,31,State-gov,181824,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,35,United-States,>50K,134676
587,31,Private,37546,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,35,United-States,>50K,412010
593,39,Private,165215,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,18,United-States,>50K,122726
623,50,Local-gov,168672,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,40,United-States,>50K,343597
624,32,Private,127610,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,32,United-States,>50K,472301
634,48,Private,140782,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,38,United-States,>50K,285202
637,31,Self-emp-not-inc,325355,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,40,United-States,>50K,440357
639,41,Private,352812,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,40,United-States,>50K,153211
646,31,Unknown,85077,Bachelors,13,Married-civ-spouse,Unknown,Wife,White,Female,0,1902,20,United-States,>50K,135500
648,43,Private,112181,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,1902,32,United-States,>50K,211855
664,46,Local-gov,398986,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,52,United-States,>50K,156665
678,41,Self-emp-not-inc,186909,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,0,1902,35,United-States,>50K,225295
706,29,Private,46442,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,50,United-States,>50K,88592
728,33,Private,51471,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,1902,40,United-States,>50K,177855
738,43,Private,187728,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,50,United-States,>50K,327965
739,28,Unknown,123147,Some-college,10,Married-civ-spouse,Unknown,Wife,White,Female,0,1887,40,United-States,>50K,289402
749,53,Federal-gov,173093,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,1887,40,Philippines,>50K,74882
762,43,Self-emp-not-inc,396758,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,70,United-States,>50K,427093
766,34,Private,182274,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1887,40,United-States,>50K,179212
770,34,Private,195136,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States,>50K,124429
784,33,Private,34748,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1887,20,United-States,>50K,111359
790,25,Private,203871,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States,>50K,483671
801,27,Private,169117,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,1887,40,United-States,>50K,91846
807,55,State-gov,153451,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,1887,40,United-States,>50K,174776
816,35,Private,401930,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1887,42,United-States,>50K,404692
822,42,Unknown,212206,Masters,14,Married-civ-spouse,Unknown,Wife,White,Female,0,1887,48,United-States,>50K,295947
836,37,Private,292855,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,35,United-States,>50K,140232
849,38,Local-gov,172855,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1887,40,United-States,>50K,351775
856,50,Private,213290,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,36,United-States,>50K,185715
879,42,Private,230959,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,1887,40,Philippines,>50K,308147
896,26,Private,397317,Masters,14,Single,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,12904
900,42,Private,44121,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,5989
907,40,Local-gov,105717,Masters,14,Single,Adm-clerical,Not-in-family,White,Female,0,1876,35,United-States,<=50K,9371
908,25,Private,193820,Bachelors,13,Single,Sales,Not-in-family,White,Female,0,1876,40,United-States,<=50K,12661
911,53,Private,122109,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,1876,38,United-States,<=50K,48662
914,27,Private,34273,Assoc-voc,11,Single,Prof-specialty,Not-in-family,White,Female,0,1876,36,Canada,<=50K,35242
920,53,Private,174020,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,1876,38,United-States,<=50K,31293
922,46,Local-gov,175754,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,60,United-States,<=50K,45371
925,41,Private,315834,Bachelors,13,Single,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,4884
929,25,Private,117833,Bachelors,13,Single,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,42335
931,53,Local-gov,103995,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,54,United-States,<=50K,17454
933,47,Local-gov,154033,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,20082
953,52,State-gov,125796,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1848,40,United-States,>50K,141446
971,48,Local-gov,242923,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,1848,40,United-States,>50K,342640
985,37,Private,103121,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1848,40,United-States,>50K,388933
993,24,Private,43323,HS-grad,9,Single,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K,27912
994,20,Unknown,114746,11th,7,Married-spouse-absent,Unknown,Own-child,Asian-Pac-Islander,Female,0,1762,40,South,<=50K,8982
996,59,Private,226922,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,1762,30,United-States,<=50K,23134
997,24,Private,85088,HS-grad,9,Single,Sales,Own-child,White,Female,0,1762,32,United-States,<=50K,20440
999,52,Private,78012,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,1762,40,United-States,<=50K,26891
1001,43,Private,138184,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,1762,35,United-States,<=50K,4678
1002,22,Private,156822,10th,6,Single,Sales,Not-in-family,White,Female,0,1762,25,United-States,<=50K,19864
1003,30,Private,145231,Assoc-acdm,12,Divorced,Adm-clerical,Own-child,White,Female,0,1762,40,United-States,<=50K,35010
1005,24,Private,276851,HS-grad,9,Divorced,Protective-serv,Own-child,White,Female,0,1762,40,United-States,<=50K,36493
1006,21,Private,211968,Some-college,10,Single,Sales,Own-child,White,Female,0,1762,28,United-States,<=50K,46811
1008,52,Private,117496,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,1755,40,United-States,>50K,104224
1013,34,Private,271933,Bachelors,13,Single,Exec-managerial,Other-relative,White,Female,0,1741,45,United-States,<=50K,49304
1021,42,Local-gov,109684,Masters,14,Single,Prof-specialty,Not-in-family,White,Female,0,1741,35,United-States,<=50K,49397
1022,42,Private,202188,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,1741,50,United-States,<=50K,8712
1023,41,Private,394669,Bachelors,13,Single,Prof-specialty,Not-in-family,White,Female,0,1741,40,United-States,<=50K,47193
1028,36,Private,171676,Bachelors,13,Single,Sales,Not-in-family,White,Female,0,1741,40,United-States,<=50K,5372
1029,44,Federal-gov,139161,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,Black,Female,0,1741,40,United-States,<=50K,18660
1030,28,Private,191088,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,1741,52,United-States,<=50K,5173
1031,52,Private,208630,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1741,38,United-States,<=50K,7354
1033,45,Private,428350,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,1740,40,United-States,<=50K,12712
1036,41,Local-gov,343079,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1740,20,United-States,<=50K,46380
1037,31,Private,47296,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1740,20,United-States,<=50K,21946
1040,33,Private,100135,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1740,25,United-States,<=50K,24340
1053,34,Local-gov,134886,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,1740,35,United-States,<=50K,4051
1057,32,Private,199655,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Other,Female,0,1740,40,Unknown,<=50K,30136
1068,31,Private,109428,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1740,40,United-States,<=50K,17657
1077,45,Local-gov,132563,Prof-school,15,Divorced,Prof-specialty,Unmarried,Black,Female,0,1726,40,United-States,<=50K,45331
1079,32,State-gov,213389,Some-college,10,Divorced,Protective-serv,Unmarried,White,Female,0,1726,38,United-States,<=50K,49480
1080,25,Private,122489,Bachelors,13,Single,Exec-managerial,Own-child,White,Female,0,1726,60,United-States,<=50K,29358
1085,20,Private,91939,HS-grad,9,Single,Adm-clerical,Not-in-family,Black,Female,0,1721,30,United-States,<=50K,44827
1086,39,Private,52978,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,1721,55,United-States,<=50K,11663
1087,19,Private,184737,HS-grad,9,Single,Other-service,Own-child,White,Female,0,1721,40,United-States,<=50K,48721
1088,18,Private,144711,HS-grad,9,Single,Sales,Not-in-family,White,Female,0,1721,40,United-States,<=50K,3460
1091,19,Local-gov,210308,Some-college,10,Single,Adm-clerical,Own-child,White,Female,0,1721,30,United-States,<=50K,34278
1093,17,Private,93235,12th,8,Single,Other-service,Own-child,White,Female,0,1721,25,United-States,<=50K,29983
1095,19,Private,243941,Some-college,10,Single,Sales,Own-child,Amer-Indian-Eskimo,Female,0,1721,25,United-States,<=50K,43630
1096,21,Private,132053,Some-college,10,Single,Adm-clerical,Own-child,White,Female,0,1721,35,United-States,<=50K,5481
1097,23,Private,129767,Some-college,10,Single,Adm-clerical,Not-in-family,White,Female,0,1721,40,United-States,<=50K,49866
1098,39,Self-emp-not-inc,251710,10th,6,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,1721,15,United-States,<=50K,12349
1099,20,Private,111697,Some-college,10,Single,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K,8163
1101,21,Private,32616,HS-grad,9,Single,Other-service,Not-in-family,White,Female,0,1719,16,United-States,<=50K,48017
1102,18,Private,201901,HS-grad,9,Single,Handlers-cleaners,Own-child,White,Female,0,1719,15,United-States,<=50K,33399
1103,30,Unknown,96851,Some-college,10,Single,Unknown,Not-in-family,White,Female,0,1719,25,United-States,<=50K,10689
1107,19,Private,158118,HS-grad,9,Single,Other-service,Not-in-family,White,Female,0,1719,40,United-States,<=50K,22034
1110,47,Private,27815,9th,5,Divorced,Other-service,Not-in-family,White,Female,0,1719,30,United-States,<=50K,22701
1111,57,Private,299358,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,0,1719,25,United-States,<=50K,33348
1115,23,Private,151910,Bachelors,13,Single,Machine-op-inspct,Own-child,White,Female,0,1719,40,United-States,<=50K,15349
1120,21,Private,387335,Some-college,10,Single,Tech-support,Own-child,White,Female,0,1719,9,United-States,<=50K,20724
1149,36,State-gov,110964,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1672,38,United-States,<=50K,44336
1155,28,Private,196690,Assoc-voc,11,Single,Machine-op-inspct,Not-in-family,White,Female,0,1669,42,United-States,<=50K,1630
1157,48,Private,125933,Some-college,10,Widowed,Exec-managerial,Unmarried,Black,Female,0,1669,38,United-States,<=50K,4873
1159,26,Private,117833,Bachelors,13,Single,Exec-managerial,Not-in-family,White,Female,0,1669,50,United-States,<=50K,33766
1164,47,Private,155124,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,<=50K,11631
1165,34,Private,185041,HS-grad,9,Single,Prof-specialty,Not-in-family,White,Female,0,1669,45,United-States,<=50K,34560
1166,32,Private,48458,HS-grad,9,Single,Sales,Own-child,Black,Female,0,1669,45,United-States,<=50K,41829
1168,38,Local-gov,30509,Masters,14,Single,Prof-specialty,Not-in-family,White,Female,0,1669,55,United-States,<=50K,35590
