,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,capital.gain,capital.loss,hours.per.week,native.country,income,random_income
126,35,Local-gov,177305,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,2377,40,United-States,<=50K,27627
127,23,Private,162945,Highschool Graduate,9,Married-civ-spouse,Sales,Married,White,0,2377,40,United-States,<=50K,11442
128,81,Private,177408,Highschool Graduate,9,Married-civ-spouse,Exec-managerial,Married,White,0,2377,26,United-States,>50K,82501
129,66,Self-emp-not-inc,427422,Advanced Degree,16,Married-civ-spouse,Sales,Married,White,0,2377,25,United-States,>50K,327552
130,71,Private,152307,Highschool Graduate,9,Married-civ-spouse,Exec-managerial,Married,White,0,2377,45,United-States,>50K,118296
131,68,Private,218637,Bachelors Degree,10,Married-civ-spouse,Sales,Married,White,0,2377,55,United-States,>50K,318959
132,68,State-gov,202699,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,2377,42,Unknown,>50K,112432
133,65,Unknown,240857,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,White,0,2377,40,United-States,>50K,226721
134,52,Private,222405,Highschool Graduate,9,Married-civ-spouse,Sales,Married,Black,0,2377,40,United-States,<=50K,15264
135,40,Self-emp-inc,110862,Technical School,12,Married-civ-spouse,Craft-repair,Married,White,0,2377,50,United-States,<=50K,24173
136,68,Unknown,257269,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,White,0,2377,35,United-States,>50K,347578
137,21,Private,377931,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,2377,48,United-States,<=50K,49170
138,35,Private,192923,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2377,40,United-States,<=50K,8728
139,70,Self-emp-inc,207938,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,2377,50,United-States,>50K,184154
140,61,Self-emp-not-inc,36671,Highschool Graduate,9,Married-civ-spouse,Farming-fishing,Married,White,0,2352,50,United-States,<=50K,9258
141,65,Self-emp-inc,81413,Highschool Graduate,9,Married-civ-spouse,Farming-fishing,Married,White,0,2352,65,United-States,<=50K,21661
143,26,Local-gov,166295,Bachelors Degree,13,Single,Prof-specialty,Single,White,0,2339,55,United-States,<=50K,12897
144,59,Local-gov,147707,Highschool Graduate,9,Widowed,Farming-fishing,Single,White,0,2339,40,United-States,<=50K,44955
145,61,Private,43554,Highschool Graduate,3,Single,Handlers-cleaners,Single,Black,0,2339,40,United-States,<=50K,11701
147,49,Self-emp-inc,141058,Bachelors Degree,10,Divorced,Exec-managerial,Single,White,0,2339,50,United-States,<=50K,5001
148,34,Private,25322,Bachelors Degree,13,Married-spouse-absent,Machine-op-inspct,Single,Asian-Pac-Islander,0,2339,40,Unknown,<=50K,25025
152,28,State-gov,381789,Bachelors Degree,10,Separated,Exec-managerial,Single,White,0,2339,40,United-States,<=50K,49117
155,41,Private,162140,Highschool Graduate,9,Divorced,Craft-repair,Single,White,0,2339,40,United-States,<=50K,17512
157,28,Private,251905,Technical School,15,Single,Prof-specialty,Single,White,0,2339,40,Canada,<=50K,19761
159,69,Private,228921,Bachelors Degree,13,Widowed,Prof-specialty,Single,White,0,2282,40,United-States,>50K,304567
160,66,Local-gov,36364,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2267,40,United-States,<=50K,22646
161,69,Private,124930,Highschool Graduate,3,Married-civ-spouse,Machine-op-inspct,Married,White,0,2267,40,United-States,<=50K,27170
163,57,Federal-gov,370890,Highschool Graduate,9,Single,Adm-clerical,Single,White,0,2258,40,United-States,<=50K,4582
164,20,Self-emp-not-inc,157145,Bachelors Degree,10,Single,Farming-fishing,Single,White,0,2258,10,United-States,<=50K,42750
165,33,Private,288825,Highschool Graduate,9,Divorced,Craft-repair,Single,White,0,2258,84,United-States,<=50K,11678
166,30,Self-emp-not-inc,257295,Bachelors Degree,10,Single,Sales,Single,Asian-Pac-Islander,0,2258,40,South,<=50K,27690
168,38,Private,101978,Bachelors Degree,10,Separated,Machine-op-inspct,Single,White,0,2258,55,United-States,>50K,416015
169,46,State-gov,192779,Technical School,12,Divorced,Adm-clerical,Single,White,0,2258,38,United-States,>50K,123405
171,57,Federal-gov,199114,Bachelors Degree,13,Single,Adm-clerical,Single,White,0,2258,40,United-States,<=50K,18599
172,39,Private,156897,Highschool Graduate,9,Single,Craft-repair,Single,White,0,2258,42,United-States,>50K,286346
173,47,Private,138107,Bachelors Degree,13,Divorced,Exec-managerial,Single,White,0,2258,40,United-States,>50K,343547
174,26,Private,279833,Bachelors Degree,13,Single,Exec-managerial,Single,White,0,2258,45,United-States,>50K,281357
175,27,Self-emp-not-inc,208577,Highschool Graduate,9,Single,Craft-repair,Single,White,0,2258,50,United-States,<=50K,48590
177,34,Private,36385,Advanced Degree,14,Single,Prof-specialty,Single,White,0,2258,50,United-States,<=50K,1243
178,33,Private,176185,Highschool Graduate,8,Divorced,Craft-repair,Single,White,0,2258,42,United-States,<=50K,12715
181,36,Private,145933,Highschool Graduate,9,Single,Exec-managerial,Single,White,0,2258,70,United-States,<=50K,37592
182,44,Federal-gov,29591,Bachelors Degree,13,Divorced,Tech-support,Single,White,0,2258,40,United-States,>50K,406344
184,44,Self-emp-inc,178510,Bachelors Degree,10,Single,Sales,Single,White,0,2258,60,United-States,<=50K,5821
185,55,Private,41108,Bachelors Degree,10,Widowed,Farming-fishing,Single,White,0,2258,62,United-States,>50K,455690
186,45,Private,187901,Highschool Graduate,9,Divorced,Farming-fishing,Single,White,0,2258,44,United-States,>50K,239558
188,31,Private,263561,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,2246,45,United-States,>50K,438562
190,70,Self-emp-not-inc,143833,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,2246,40,United-States,>50K,431604
191,70,Self-emp-not-inc,124449,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,0,2246,8,United-States,>50K,387368
192,73,Private,336007,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,2246,40,United-States,>50K,217406
193,72,Self-emp-not-inc,285408,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,0,2246,28,United-States,>50K,476372
196,23,Self-emp-not-inc,258298,Bachelors Degree,13,Single,Adm-clerical,Single,White,0,2231,40,United-States,>50K,239638
197,49,Local-gov,102359,Highschool Graduate,5,Widowed,Handlers-cleaners,Single,White,0,2231,40,United-States,>50K,188834
198,27,Local-gov,92431,Bachelors Degree,10,Single,Protective-serv,Single,White,0,2231,40,United-States,>50K,82385
199,90,Private,51744,Highschool Graduate,9,Single,Other-service,Single,Black,0,2206,40,United-States,<=50K,32148
205,24,Private,379066,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,2205,24,United-States,<=50K,30635
206,44,Self-emp-not-inc,171424,Bachelors Degree,10,Divorced,Machine-op-inspct,Single,White,0,2205,35,United-States,<=50K,19000
209,38,Private,126675,Highschool Graduate,9,Divorced,Craft-repair,Single,White,0,2205,40,United-States,<=50K,23855
212,42,Private,242564,Highschool Graduate,4,Single,Handlers-cleaners,Single,Black,0,2205,40,United-States,<=50K,14726
214,42,Self-emp-inc,23510,Advanced Degree,14,Divorced,Exec-managerial,Single,Asian-Pac-Islander,0,2201,60,India,>50K,453979
215,64,Private,181232,Highschool Graduate,7,Married-civ-spouse,Craft-repair,Married,White,0,2179,40,United-States,<=50K,1576
216,28,Private,166481,Highschool Graduate,4,Married-civ-spouse,Handlers-cleaners,Married,Other,0,2179,40,Puerto-Rico,<=50K,3060
217,41,Self-emp-inc,139916,Technical School,11,Married-civ-spouse,Sales,Married,Other,0,2179,84,Mexico,<=50K,2902
218,41,Self-emp-not-inc,144594,Highschool Graduate,4,Married-civ-spouse,Craft-repair,Married,White,0,2179,40,United-States,<=50K,12712
219,58,Self-emp-not-inc,266707,Highschool Graduate,2,Married-civ-spouse,Transport-moving,Married,White,0,2179,18,United-States,<=50K,12296
220,59,State-gov,303176,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,2179,40,United-States,<=50K,45826
222,45,Private,167523,Highschool Graduate,9,Married-civ-spouse,Transport-moving,Married,White,0,2179,45,United-States,<=50K,36357
224,47,Private,175925,Highschool Graduate,6,Married-civ-spouse,Sales,Married,White,0,2179,52,United-States,<=50K,26739
225,40,Private,212847,Bachelors Degree,10,Married-civ-spouse,Machine-op-inspct,Married,White,0,2179,40,United-States,<=50K,46950
226,47,Self-emp-not-inc,191175,Highschool Graduate,3,Married-civ-spouse,Sales,Married,White,0,2179,50,Mexico,<=50K,40415
227,63,Unknown,83043,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,White,0,2179,45,United-States,<=50K,19811
228,41,Self-emp-not-inc,170214,Highschool Graduate,9,Married-civ-spouse,Handlers-cleaners,Married,White,0,2179,40,United-States,<=50K,9870
229,34,Private,180714,Bachelors Degree,10,Married-civ-spouse,Transport-moving,Married,Black,0,2179,40,United-States,<=50K,11884
230,66,Unknown,177351,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,White,0,2174,40,United-States,>50K,373706
231,65,Self-emp-not-inc,111483,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,2174,10,United-States,>50K,225652
232,70,Private,282642,Highschool Graduate,9,Married-civ-spouse,Handlers-cleaners,Married,White,0,2174,40,United-States,>50K,489727
233,75,Self-emp-not-inc,309955,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,0,2174,50,United-States,>50K,476589
234,65,State-gov,215908,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,2174,40,United-States,>50K,396484
235,65,Federal-gov,23494,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,Black,0,2174,40,United-States,>50K,445601
236,73,Private,147551,Bachelors Degree,10,Married-civ-spouse,Prof-specialty,Married,White,0,2174,50,United-States,>50K,219942
237,60,Unknown,141221,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,Asian-Pac-Islander,0,2163,25,South,<=50K,4164
238,68,Self-emp-not-inc,116903,Technical School,11,Married-civ-spouse,Prof-specialty,Married,White,0,2149,40,United-States,<=50K,30439
239,74,Self-emp-not-inc,119129,Highschool Graduate,9,Married-civ-spouse,Sales,Married,White,0,2149,20,United-States,<=50K,29103
241,19,Self-emp-not-inc,342384,Highschool Graduate,7,Married-civ-spouse,Craft-repair,Single,White,0,2129,55,United-States,<=50K,24639
242,37,Self-emp-not-inc,68899,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2129,40,United-States,<=50K,30456
243,45,Federal-gov,207107,Technical School,12,Divorced,Adm-clerical,Single,Asian-Pac-Islander,0,2080,40,Philippines,<=50K,7535
244,64,Private,149044,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,Asian-Pac-Islander,0,2057,60,China,<=50K,30172
245,30,Private,148524,Highschool Graduate,9,Married-civ-spouse,Transport-moving,Married,White,0,2057,40,United-States,<=50K,26982
247,35,Private,272019,Highschool Graduate,7,Married-civ-spouse,Craft-repair,Married,White,0,2057,40,United-States,<=50K,38333
250,41,Private,125831,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,60,United-States,<=50K,10776
251,35,Private,67728,Bachelors Degree,10,Married-civ-spouse,Craft-repair,Married,White,0,2051,45,United-States,<=50K,41750
252,26,Private,115717,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,2051,40,United-States,<=50K,20592
253,54,Private,172281,Highschool Graduate,9,Married-civ-spouse,Transport-moving,Married,White,0,2051,50,United-States,<=50K,24630
254,52,Local-gov,305053,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,40,United-States,<=50K,8009
255,50,Self-emp-not-inc,105010,Highschool Graduate,9,Married-civ-spouse,Farming-fishing,Married,White,0,2051,20,United-States,<=50K,22656
256,31,Private,291052,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,2051,40,United-States,<=50K,42428
257,38,Federal-gov,248919,Highschool Graduate,9,Married-civ-spouse,Transport-moving,Married,White,0,2051,40,United-States,<=50K,17137
258,30,Private,84119,Bachelors Degree,10,Married-civ-spouse,Craft-repair,Married,White,0,2051,40,United-States,<=50K,30194
259,34,Local-gov,105540,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,2051,40,United-States,<=50K,24531
260,31,Private,161765,Bachelors Degree,10,Married-civ-spouse,Sales,Married,White,0,2051,57,United-States,<=50K,35556
261,52,Private,195635,Highschool Graduate,9,Married-civ-spouse,Machine-op-inspct,Married,White,0,2051,38,United-States,<=50K,28353
262,54,Private,816750,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,40,United-States,<=50K,31435
263,38,Private,160192,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,44,United-States,<=50K,14866
264,39,Private,136081,Highschool Graduate,9,Married-civ-spouse,Machine-op-inspct,Married,White,0,2051,40,United-States,<=50K,36335
265,29,Private,244473,Technical School,11,Married-civ-spouse,Tech-support,Married,White,0,2051,40,United-States,<=50K,37895
266,45,Private,187033,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,40,United-States,<=50K,8822
267,34,Private,265807,Highschool Graduate,9,Married-civ-spouse,Transport-moving,Married,White,0,2051,55,United-States,<=50K,41938
268,38,Private,154410,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,40,Poland,<=50K,27676
269,39,Private,314007,Highschool Graduate,6,Married-civ-spouse,Craft-repair,Married,White,0,2051,40,United-States,<=50K,2583
270,61,Private,179743,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2051,20,United-States,<=50K,22789
271,43,Private,117037,Highschool Graduate,7,Married-civ-spouse,Transport-moving,Married,White,0,2042,40,United-States,<=50K,42069
272,35,Private,40135,Bachelors Degree,10,Married-civ-spouse,Handlers-cleaners,Married,White,0,2042,40,United-States,<=50K,32716
273,46,Private,315423,Bachelors Degree,10,Married-civ-spouse,Sales,Married,White,0,2042,50,United-States,<=50K,42490
274,38,Private,35429,Highschool Graduate,9,Married-civ-spouse,Handlers-cleaners,Married,White,0,2042,40,United-States,<=50K,33829
275,42,Self-emp-not-inc,120837,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2042,48,United-States,<=50K,1047
276,34,Private,90614,Technical School,12,Married-civ-spouse,Tech-support,Married,White,0,2042,10,United-States,<=50K,20926
277,29,Private,202878,Highschool Graduate,4,Married-civ-spouse,Farming-fishing,Married,White,0,2042,40,United-States,<=50K,43022
278,32,Private,260954,Highschool Graduate,7,Married-civ-spouse,Craft-repair,Married,White,0,2042,30,United-States,<=50K,32576
279,60,Private,127084,Highschool Graduate,9,Married-civ-spouse,Protective-serv,Married,White,0,2042,34,United-States,<=50K,19233
280,49,Local-gov,107231,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2002,40,United-States,<=50K,33580
281,53,Local-gov,135102,Highschool Graduate,9,Married-civ-spouse,Other-service,Married,White,0,2002,45,United-States,<=50K,25355
282,56,Private,201822,Highschool Graduate,4,Married-civ-spouse,Handlers-cleaners,Married,White,0,2002,40,United-States,<=50K,4169
283,48,Private,413363,Highschool Graduate,7,Married-civ-spouse,Transport-moving,Married,White,0,2002,40,United-States,<=50K,6216
284,32,Federal-gov,148138,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,Asian-Pac-Islander,0,2002,40,Iran,<=50K,41390
285,42,Self-emp-not-inc,170721,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Married,White,0,2002,40,United-States,<=50K,19516
286,32,Private,102858,Technical School,12,Married-civ-spouse,Prof-specialty,Married,White,0,2002,42,United-States,<=50K,10403
287,28,Local-gov,175262,Technical School,12,Married-civ-spouse,Protective-serv,Married,White,0,2002,40,England,<=50K,27495
288,26,Private,36936,Technical School,11,Married-civ-spouse,Craft-repair,Married,White,0,2002,40,United-States,<=50K,11346
289,59,Private,169982,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,2002,50,United-States,<=50K,10941
