,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,capital.gain,capital.loss,hours.per.week,native.country,income,random_income
62,44,Private,162028,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,2415,6,United-States,>50K,134345
74,39,Private,179731,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,0,2415,65,United-States,>50K,126720
94,31,Self-emp-not-inc,252752,Highschool Graduate,9,Married-civ-spouse,Other-service,Married,White,0,2415,40,United-States,>50K,336861
104,41,Self-emp-inc,114580,Technical School,15,Married-civ-spouse,Exec-managerial,Married,White,0,2415,55,United-States,>50K,345651
108,50,Private,102346,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,2415,20,United-States,>50K,368243
122,49,Self-emp-inc,158685,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,2377,40,United-States,>50K,183017
125,27,Private,156516,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,Black,0,2377,20,United-States,<=50K,25420
142,46,Private,214955,Highschool Graduate,3,Divorced,Craft-repair,Single,White,0,2339,45,United-States,<=50K,11306
146,60,State-gov,358893,Bachelors Degree,13,Divorced,Prof-specialty,Single,White,0,2339,40,United-States,<=50K,37761
149,25,Private,77071,Bachelors Degree,13,Single,Prof-specialty,Single,White,0,2339,35,United-States,<=50K,26186
150,55,Private,158702,Bachelors Degree,10,Single,Adm-clerical,Single,Black,0,2339,45,Unknown,<=50K,35896
151,59,Local-gov,171328,Highschool Graduate,9,Separated,Protective-serv,Single,Black,0,2339,40,United-States,<=50K,3368
153,43,Unknown,152569,Technical School,11,Widowed,Unknown,Single,White,0,2339,36,United-States,<=50K,8814
154,56,Self-emp-not-inc,346635,Advanced Degree,14,Divorced,Sales,Single,White,0,2339,60,United-States,<=50K,34181
156,42,Private,191765,Highschool Graduate,9,Single,Adm-clerical,Single,Black,0,2339,40,Trinadad&Tobago,<=50K,30322
158,40,Self-emp-not-inc,33310,Technical School,15,Divorced,Other-service,Single,White,0,2339,35,United-States,<=50K,33219
162,55,Local-gov,176046,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,2267,40,United-States,<=50K,30639
167,40,Private,287983,Bachelors Degree,13,Single,Tech-support,Single,Asian-Pac-Islander,0,2258,48,Philippines,<=50K,15524
170,29,Private,135296,Bachelors Degree,13,Single,Exec-managerial,Single,White,0,2258,45,United-States,>50K,105593
176,23,Private,102942,Bachelors Degree,13,Single,Prof-specialty,Single,White,0,2258,40,United-States,>50K,127620
179,38,Local-gov,162613,Advanced Degree,14,Single,Prof-specialty,Single,White,0,2258,60,United-States,<=50K,31287
180,57,Private,121362,Bachelors Degree,10,Widowed,Adm-clerical,Single,White,0,2258,38,United-States,>50K,65477
183,49,State-gov,269417,Advanced Degree,16,Single,Exec-managerial,Single,White,0,2258,50,United-States,>50K,168158
187,48,Private,175070,Highschool Graduate,9,Divorced,Exec-managerial,Single,White,0,2258,40,United-States,>50K,200974
189,55,Local-gov,99131,Highschool Graduate,9,Married-civ-spouse,Prof-specialty,Single,White,0,2246,40,United-States,>50K,230972
194,31,Private,327825,Highschool Graduate,9,Separated,Machine-op-inspct,Single,White,0,2238,40,United-States,<=50K,12929
195,28,Private,129460,Highschool Graduate,6,Widowed,Adm-clerical,Single,White,0,2238,35,United-States,<=50K,24052
200,68,Private,166149,Highschool Graduate,9,Widowed,Adm-clerical,Single,White,0,2206,30,United-States,<=50K,29652
201,65,Private,149811,Highschool Graduate,9,Divorced,Adm-clerical,Single,White,0,2206,59,Canada,<=50K,41239
202,65,Unknown,143118,Highschool Graduate,9,Widowed,Unknown,Single,White,0,2206,10,United-States,<=50K,28692
203,67,Private,118363,Bachelors Degree,13,Divorced,Exec-managerial,Single,White,0,2206,5,United-States,<=50K,38693
204,66,Local-gov,362165,Bachelors Degree,13,Widowed,Prof-specialty,Single,Black,0,2206,25,United-States,<=50K,12602
207,35,Private,108293,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,2205,40,United-States,<=50K,46244
208,20,Private,107801,Technical School,12,Single,Other-service,Single,White,0,2205,18,United-States,<=50K,40336
210,39,Private,155603,Bachelors Degree,10,Single,Other-service,Single,Black,0,2205,40,United-States,<=50K,28059
211,32,Private,27882,Bachelors Degree,10,Single,Machine-op-inspct,Single,White,0,2205,40,Holand-Netherlands,<=50K,25285
213,63,Unknown,234083,Highschool Graduate,9,Divorced,Unknown,Single,White,0,2205,40,United-States,<=50K,46987
221,34,Self-emp-not-inc,56460,Highschool Graduate,9,Married-civ-spouse,Farming-fishing,Married,White,0,2179,12,United-States,<=50K,12508
223,29,Private,119004,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,2179,40,United-States,<=50K,40309
240,43,Private,143582,Highschool Graduate,3,Married-civ-spouse,Machine-op-inspct,Married,Asian-Pac-Islander,0,2129,72,Unknown,<=50K,19958
246,51,Self-emp-not-inc,268639,Bachelors Degree,10,Married-civ-spouse,Prof-specialty,Married,White,0,2057,60,Canada,<=50K,34798
248,29,Private,239753,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,2057,20,United-States,<=50K,46513
249,34,Private,199864,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,2057,40,United-States,<=50K,34636
293,36,Private,183739,Highschool Graduate,9,Married-civ-spouse,Craft-repair,Single,White,0,2002,40,United-States,<=50K,31754
307,25,Private,121102,Technical School,12,Single,Tech-support,Single,White,0,2001,30,United-States,<=50K,22878
310,55,Unknown,123382,Highschool Graduate,9,Separated,Unknown,Single,Black,0,2001,40,United-States,<=50K,18231
314,19,Private,264390,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,2001,40,United-States,<=50K,16776
315,24,Private,210029,Highschool Graduate,9,Single,Adm-clerical,Single,White,0,2001,37,United-States,<=50K,5630
317,21,Local-gov,102942,Bachelors Degree,10,Single,Other-service,Single,White,0,2001,40,United-States,<=50K,23344
321,48,Private,93476,Highschool Graduate,9,Separated,Adm-clerical,Single,White,0,2001,40,United-States,<=50K,12611
324,36,Private,297847,Highschool Graduate,9,Single,Other-service,Single,Black,0,2001,40,United-States,<=50K,46985
327,35,Private,187119,Bachelors Degree,13,Divorced,Sales,Single,White,0,1980,65,United-States,<=50K,10470
330,28,Local-gov,304960,Technical School,12,Single,Adm-clerical,Single,White,0,1980,40,United-States,<=50K,12734
334,28,Private,184723,Bachelors Degree,13,Single,Tech-support,Single,White,0,1980,35,United-States,<=50K,14680
335,41,Federal-gov,185616,Highschool Graduate,9,Single,Adm-clerical,Single,White,0,1980,40,United-States,<=50K,5168
336,35,Private,54595,Highschool Graduate,6,Widowed,Other-service,Single,Black,0,1980,40,United-States,<=50K,23465
337,58,Private,126104,Advanced Degree,14,Divorced,Adm-clerical,Single,White,0,1980,45,United-States,<=50K,46185
340,30,Private,207301,Highschool Graduate,9,Single,Sales,Single,White,0,1980,40,United-States,<=50K,17343
344,56,Private,34626,Bachelors Degree,10,Divorced,Exec-managerial,Single,White,0,1980,40,United-States,<=50K,27198
353,36,Self-emp-inc,108293,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,1977,45,United-States,>50K,329534
355,29,Self-emp-inc,260729,Highschool Graduate,9,Married-civ-spouse,Sales,Married,White,0,1977,25,United-States,>50K,430000
356,50,Private,133963,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1977,40,United-States,>50K,53280
374,49,Private,101825,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1977,40,United-States,>50K,427881
388,57,Local-gov,174132,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,Black,0,1977,40,United-States,>50K,272818
421,45,Private,363677,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,0,1977,30,United-States,>50K,162799
436,28,Private,114158,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1977,24,United-States,>50K,230750
439,45,Local-gov,159816,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1977,35,United-States,>50K,175552
456,58,Self-emp-not-inc,147653,Highschool Graduate,6,Married-civ-spouse,Craft-repair,Married,White,0,1977,35,Unknown,>50K,314651
464,40,Self-emp-not-inc,175943,Technical School,11,Married-civ-spouse,Prof-specialty,Married,White,0,1977,15,United-States,>50K,251551
468,35,Private,99357,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,1977,30,United-States,>50K,402211
478,40,Private,46990,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,0,1977,20,United-States,>50K,225922
482,39,Private,134367,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1977,24,United-States,>50K,130577
489,56,Self-emp-not-inc,48102,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,1977,50,United-States,>50K,428117
495,54,Self-emp-not-inc,109418,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,1977,35,United-States,>50K,283286
500,36,Private,386726,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1977,44,United-States,>50K,334914
506,49,Local-gov,298445,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,0,1977,60,United-States,>50K,495426
510,39,Local-gov,344855,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1977,20,United-States,>50K,289762
511,26,Unknown,370727,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,White,0,1977,40,United-States,>50K,476005
518,23,Private,275818,Bachelors Degree,10,Single,Sales,Single,White,0,1974,40,United-States,<=50K,4474
519,47,Private,133758,Highschool Graduate,9,Divorced,Exec-managerial,Single,White,0,1974,40,United-States,<=50K,37364
520,30,Private,43953,Highschool Graduate,9,Single,Adm-clerical,Single,White,0,1974,40,United-States,<=50K,1028
522,26,Private,58098,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,1974,40,United-States,<=50K,39920
527,56,Private,105281,Highschool Graduate,9,Widowed,Sales,Single,White,0,1974,40,United-States,<=50K,20384
529,34,Private,258666,Technical School,11,Single,Tech-support,Single,White,0,1974,40,United-States,<=50K,46250
531,23,Private,188545,Technical School,12,Single,Adm-clerical,Single,White,0,1974,20,United-States,<=50K,37732
532,24,Federal-gov,210736,Highschool Graduate,9,Single,Adm-clerical,Single,White,0,1974,40,United-States,<=50K,39310
534,77,Self-emp-not-inc,71676,Bachelors Degree,10,Widowed,Adm-clerical,Single,White,0,1944,1,United-States,<=50K,7183
535,47,Private,51835,Technical School,15,Married-civ-spouse,Prof-specialty,Married,White,0,1902,60,Honduras,>50K,123952
544,48,State-gov,55863,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,0,1902,46,United-States,>50K,343613
552,45,Private,26522,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,1902,35,United-States,>50K,286883
557,49,Private,101320,Technical School,12,Married-civ-spouse,Sales,Married,White,0,1902,40,United-States,>50K,451914
560,43,Local-gov,105862,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,1902,40,United-States,>50K,309359
571,50,Private,184424,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,1902,38,United-States,>50K,50460
574,44,Self-emp-not-inc,402397,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,0,1902,60,United-States,>50K,194331
576,28,Local-gov,250135,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1902,55,United-States,<=50K,13577
579,38,Private,169926,Technical School,12,Married-civ-spouse,Exec-managerial,Married,White,0,1902,40,United-States,>50K,84558
586,31,State-gov,181824,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1902,35,United-States,>50K,494598
587,31,Private,37546,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,1902,35,United-States,>50K,346836
593,39,Private,165215,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1902,18,United-States,>50K,338864
623,50,Local-gov,168672,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,White,0,1902,40,United-States,>50K,89971
624,32,Private,127610,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1902,32,United-States,>50K,227718
634,48,Private,140782,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Married,White,0,1902,38,United-States,>50K,295947
637,31,Self-emp-not-inc,325355,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,1902,40,United-States,>50K,492551
639,41,Private,352812,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,1902,40,United-States,>50K,196379
646,31,Unknown,85077,Bachelors Degree,13,Married-civ-spouse,Unknown,Married,White,0,1902,20,United-States,>50K,411356
648,43,Private,112181,Technical School,11,Married-civ-spouse,Tech-support,Married,White,0,1902,32,United-States,>50K,328038
664,46,Local-gov,398986,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Married,White,0,1902,52,United-States,>50K,231671
678,41,Self-emp-not-inc,186909,Advanced Degree,14,Married-civ-spouse,Sales,Married,White,0,1902,35,United-States,>50K,415491
706,29,Private,46442,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1902,50,United-States,>50K,308708
728,33,Private,51471,Highschool Graduate,9,Married-civ-spouse,Tech-support,Married,White,0,1902,40,United-States,>50K,310219
738,43,Private,187728,Bachelors Degree,10,Married-civ-spouse,Prof-specialty,Married,White,0,1887,50,United-States,>50K,242414
739,28,Unknown,123147,Bachelors Degree,10,Married-civ-spouse,Unknown,Married,White,0,1887,40,United-States,>50K,426202
749,53,Federal-gov,173093,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,Asian-Pac-Islander,0,1887,40,Philippines,>50K,412550
762,43,Self-emp-not-inc,396758,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1887,70,United-States,>50K,152701
766,34,Private,182274,Bachelors Degree,10,Married-civ-spouse,Exec-managerial,Married,White,0,1887,40,United-States,>50K,493130
770,34,Private,195136,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1887,40,United-States,>50K,234605
784,33,Private,34748,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,1887,20,United-States,>50K,162800
790,25,Private,203871,Technical School,11,Married-civ-spouse,Prof-specialty,Married,White,0,1887,40,United-States,>50K,84724
801,27,Private,169117,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,Black,0,1887,40,United-States,>50K,494769
807,55,State-gov,153451,Highschool Graduate,9,Married-civ-spouse,Tech-support,Married,White,0,1887,40,United-States,>50K,61743
816,35,Private,401930,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,1887,42,United-States,>50K,323613
822,42,Unknown,212206,Advanced Degree,14,Married-civ-spouse,Unknown,Married,White,0,1887,48,United-States,>50K,427904
836,37,Private,292855,Technical School,11,Married-civ-spouse,Prof-specialty,Married,White,0,1887,35,United-States,>50K,262670
849,38,Local-gov,172855,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,Black,0,1887,40,United-States,>50K,308315
856,50,Private,213290,Technical School,11,Married-civ-spouse,Prof-specialty,Married,White,0,1887,36,United-States,>50K,321812
879,42,Private,230959,Bachelors Degree,13,Married-civ-spouse,Adm-clerical,Married,Asian-Pac-Islander,0,1887,40,Philippines,>50K,471164
896,26,Private,397317,Advanced Degree,14,Single,Prof-specialty,Single,White,0,1876,40,United-States,<=50K,28335
900,42,Private,44121,Advanced Degree,14,Divorced,Prof-specialty,Single,White,0,1876,40,United-States,<=50K,46160
907,40,Local-gov,105717,Advanced Degree,14,Single,Adm-clerical,Single,White,0,1876,35,United-States,<=50K,10818
908,25,Private,193820,Bachelors Degree,13,Single,Sales,Single,White,0,1876,40,United-States,<=50K,1960
911,53,Private,122109,Highschool Graduate,9,Separated,Adm-clerical,Single,White,0,1876,38,United-States,<=50K,31940
914,27,Private,34273,Technical School,11,Single,Prof-specialty,Single,White,0,1876,36,Canada,<=50K,21035
920,53,Private,174020,Advanced Degree,14,Divorced,Prof-specialty,Single,White,0,1876,38,United-States,<=50K,18018
922,46,Local-gov,175754,Advanced Degree,14,Divorced,Prof-specialty,Single,White,0,1876,60,United-States,<=50K,9559
925,41,Private,315834,Bachelors Degree,13,Single,Prof-specialty,Single,White,0,1876,40,United-States,<=50K,10440
929,25,Private,117833,Bachelors Degree,13,Single,Prof-specialty,Single,White,0,1876,40,United-States,<=50K,35117
931,53,Local-gov,103995,Bachelors Degree,13,Divorced,Prof-specialty,Single,White,0,1876,54,United-States,<=50K,35034
933,47,Local-gov,154033,Bachelors Degree,10,Divorced,Prof-specialty,Single,White,0,1876,40,United-States,<=50K,3551
953,52,State-gov,125796,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Married,Black,0,1848,40,United-States,>50K,372867
971,48,Local-gov,242923,Highschool Graduate,9,Married-civ-spouse,Tech-support,Married,White,0,1848,40,United-States,>50K,232029
985,37,Private,103121,Bachelors Degree,13,Married-civ-spouse,Exec-managerial,Married,White,0,1848,40,United-States,>50K,128937
993,24,Private,43323,Highschool Graduate,9,Single,Other-service,Single,White,0,1762,40,United-States,<=50K,19583
994,20,Unknown,114746,Highschool Graduate,7,Married-spouse-absent,Unknown,Single,Asian-Pac-Islander,0,1762,40,South,<=50K,17277
996,59,Private,226922,Highschool Graduate,9,Divorced,Sales,Single,White,0,1762,30,United-States,<=50K,40240
997,24,Private,85088,Highschool Graduate,9,Single,Sales,Single,White,0,1762,32,United-States,<=50K,3902
999,52,Private,78012,Highschool Graduate,9,Widowed,Sales,Single,White,0,1762,40,United-States,<=50K,5094
1001,43,Private,138184,Highschool Graduate,9,Divorced,Other-service,Single,Black,0,1762,35,United-States,<=50K,18128
1002,22,Private,156822,Highschool Graduate,6,Single,Sales,Single,White,0,1762,25,United-States,<=50K,18450
1003,30,Private,145231,Technical School,12,Divorced,Adm-clerical,Single,White,0,1762,40,United-States,<=50K,26793
1005,24,Private,276851,Highschool Graduate,9,Divorced,Protective-serv,Single,White,0,1762,40,United-States,<=50K,38910
1006,21,Private,211968,Bachelors Degree,10,Single,Sales,Single,White,0,1762,28,United-States,<=50K,8441
1008,52,Private,117496,Bachelors Degree,13,Divorced,Prof-specialty,Single,White,0,1755,40,United-States,>50K,242951
1013,34,Private,271933,Bachelors Degree,13,Single,Exec-managerial,Single,White,0,1741,45,United-States,<=50K,39278
1021,42,Local-gov,109684,Advanced Degree,14,Single,Prof-specialty,Single,White,0,1741,35,United-States,<=50K,4617
1022,42,Private,202188,Bachelors Degree,10,Divorced,Exec-managerial,Single,White,0,1741,50,United-States,<=50K,45403
1023,41,Private,394669,Bachelors Degree,13,Single,Prof-specialty,Single,White,0,1741,40,United-States,<=50K,47275
1028,36,Private,171676,Bachelors Degree,13,Single,Sales,Single,White,0,1741,40,United-States,<=50K,43643
1029,44,Federal-gov,139161,Technical School,12,Divorced,Adm-clerical,Single,Black,0,1741,40,United-States,<=50K,47128
1030,28,Private,191088,Highschool Graduate,9,Divorced,Other-service,Single,White,0,1741,52,United-States,<=50K,23732
1031,52,Private,208630,Highschool Graduate,9,Divorced,Adm-clerical,Single,White,0,1741,38,United-States,<=50K,1220
1033,45,Private,428350,Highschool Graduate,9,Married-civ-spouse,Machine-op-inspct,Married,White,0,1740,40,United-States,<=50K,14828
1036,41,Local-gov,343079,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1740,20,United-States,<=50K,25260
1037,31,Private,47296,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,White,0,1740,20,United-States,<=50K,31690
1040,33,Private,100135,Highschool Graduate,9,Married-civ-spouse,Adm-clerical,Married,White,0,1740,25,United-States,<=50K,14532
1053,34,Local-gov,134886,Highschool Graduate,9,Married-civ-spouse,Other-service,Married,White,0,1740,35,United-States,<=50K,18250
1057,32,Private,199655,Bachelors Degree,10,Married-civ-spouse,Adm-clerical,Married,Other,0,1740,40,Unknown,<=50K,3139
1068,31,Private,109428,Technical School,12,Married-civ-spouse,Adm-clerical,Married,White,0,1740,40,United-States,<=50K,39529
1077,45,Local-gov,132563,Technical School,15,Divorced,Prof-specialty,Single,Black,0,1726,40,United-States,<=50K,28938
1079,32,State-gov,213389,Bachelors Degree,10,Divorced,Protective-serv,Single,White,0,1726,38,United-States,<=50K,8573
1080,25,Private,122489,Bachelors Degree,13,Single,Exec-managerial,Single,White,0,1726,60,United-States,<=50K,30307
1085,20,Private,91939,Highschool Graduate,9,Single,Adm-clerical,Single,Black,0,1721,30,United-States,<=50K,27759
1086,39,Private,52978,Bachelors Degree,10,Divorced,Other-service,Single,White,0,1721,55,United-States,<=50K,46170
1087,19,Private,184737,Highschool Graduate,9,Single,Other-service,Single,White,0,1721,40,United-States,<=50K,10859
1088,18,Private,144711,Highschool Graduate,9,Single,Sales,Single,White,0,1721,40,United-States,<=50K,34551
1091,19,Local-gov,210308,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,1721,30,United-States,<=50K,8214
1093,17,Private,93235,Highschool Graduate,8,Single,Other-service,Single,White,0,1721,25,United-States,<=50K,35986
1095,19,Private,243941,Bachelors Degree,10,Single,Sales,Single,Amer-Indian-Eskimo,0,1721,25,United-States,<=50K,39797
1096,21,Private,132053,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,1721,35,United-States,<=50K,39170
1097,23,Private,129767,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,1721,40,United-States,<=50K,43313
1098,39,Self-emp-not-inc,251710,Highschool Graduate,6,Married-spouse-absent,Other-service,Single,White,0,1721,15,United-States,<=50K,6962
1099,20,Private,111697,Bachelors Degree,10,Single,Adm-clerical,Single,White,0,1719,28,United-States,<=50K,21603
1101,21,Private,32616,Highschool Graduate,9,Single,Other-service,Single,White,0,1719,16,United-States,<=50K,25250
1102,18,Private,201901,Highschool Graduate,9,Single,Handlers-cleaners,Single,White,0,1719,15,United-States,<=50K,8580
1103,30,Unknown,96851,Bachelors Degree,10,Single,Unknown,Single,White,0,1719,25,United-States,<=50K,31986
1107,19,Private,158118,Highschool Graduate,9,Single,Other-service,Single,White,0,1719,40,United-States,<=50K,3843
1110,47,Private,27815,Highschool Graduate,5,Divorced,Other-service,Single,White,0,1719,30,United-States,<=50K,49513
1111,57,Private,299358,Highschool Graduate,9,Widowed,Other-service,Single,White,0,1719,25,United-States,<=50K,26841
1115,23,Private,151910,Bachelors Degree,13,Single,Machine-op-inspct,Single,White,0,1719,40,United-States,<=50K,11287
1120,21,Private,387335,Bachelors Degree,10,Single,Tech-support,Single,White,0,1719,9,United-States,<=50K,8504
1149,36,State-gov,110964,Bachelors Degree,13,Married-civ-spouse,Prof-specialty,Married,White,0,1672,38,United-States,<=50K,29536
1155,28,Private,196690,Technical School,11,Single,Machine-op-inspct,Single,White,0,1669,42,United-States,<=50K,12391
1157,48,Private,125933,Bachelors Degree,10,Widowed,Exec-managerial,Single,Black,0,1669,38,United-States,<=50K,32655
1159,26,Private,117833,Bachelors Degree,13,Single,Exec-managerial,Single,White,0,1669,50,United-States,<=50K,6471
1164,47,Private,155124,Technical School,11,Divorced,Prof-specialty,Single,White,0,1669,40,United-States,<=50K,3395
1165,34,Private,185041,Highschool Graduate,9,Single,Prof-specialty,Single,White,0,1669,45,United-States,<=50K,34631
1166,32,Private,48458,Highschool Graduate,9,Single,Sales,Single,Black,0,1669,45,United-States,<=50K,2817
1168,38,Local-gov,30509,Advanced Degree,14,Single,Prof-specialty,Single,White,0,1669,55,United-States,<=50K,6569
1171,30,Private,33688,Highschool Graduate,9,Single,Transport-moving,Single,White,0,1669,70,United-States,<=50K,8213
1172,26,Private,104834,Advanced Degree,14,Single,Prof-specialty,Single,White,0,1669,40,United-States,<=50K,46894
1173,40,Private,180032,Advanced Degree,14,Single,Prof-specialty,Single,White,0,1669,40,United-States,<=50K,13659
1174,56,Local-gov,52953,Advanced Degree,16,Divorced,Prof-specialty,Single,White,0,1669,38,United-States,<=50K,10030
1175,44,Local-gov,196456,Advanced Degree,14,Single,Prof-specialty,Single,White,0,1669,40,United-States,<=50K,23825
1177,53,Local-gov,137250,Advanced Degree,14,Widowed,Prof-specialty,Single,Black,0,1669,35,United-States,<=50K,27838
1178,61,Private,190682,Highschool Graduate,9,Widowed,Craft-repair,Single,Black,0,1669,50,United-States,<=50K,19463
1180,81,Self-emp-not-inc,123959,Bachelors Degree,13,Widowed,Prof-specialty,Single,White,0,1668,3,Hungary,<=50K,42499
1181,68,Unknown,286869,Highschool Graduate,4,Widowed,Unknown,Single,White,0,1668,40,Unknown,<=50K,12474
1202,34,Private,238305,Bachelors Degree,10,Married-civ-spouse,Other-service,Married,White,0,1628,12,Unknown,<=50K,45082
1204,41,Unknown,211873,Technical School,11,Married-civ-spouse,Unknown,Married,White,0,1628,5,Unknown,<=50K,42813
